id,name,level,summary,Industries_Served
scandiweb,scandiweb,Silver,The largest Adobe Commerce Certified team globally.  scandiweb is the only eCommerce agency happy to be your Plan B,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
brainvire+infotech+inc,Brainvire Infotech Inc,Gold,"Award winning Digital Transformation agency, specialized in Adobe Commerce. Helping multiple brands and startups to launch or revamp their eCommerce journey. Serving B2B and B2C customers worldwide for their custom commerce operation needs.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
publicis+sapient,Publicis Sapient,Platinum,TOGETHER WE TAKE DIGITAL EXPERIENCES INTO TOMORROW,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
corra,Corra,Platinum,"Corra, a Publicis Sapient Company,  is the global commerce leader brands and B2B organizations trust to deliver comprehensive digital solutions that convert and retain customers in the long term.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail""]"
atwix,Atwix,Bronze,"eCommerce Vision. Delivered. Atwix helps businesses of every size transform eCommerce goals into reality. Our expertise includes strategic, tactical, and operational skill sets.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
valtech,Valtech,Platinum,Valtech is the experience innovation company.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
epam+systems,EPAM Systems,Platinum,About EPAM Systems,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
binary+anvil,Binary Anvil,Silver,"EXPERIENCED, DEDICATED & READY TO GO","[""B2B High Tech"", ""Consumer Packaged Goods"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Retail""]"
krish+technolabs,Krish TechnoLabs,Silver,"Established in 2003, Krish is an award winning full-service digital commerce agency that help brands to innovate, evolve and thrive at digital commerce.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
ziffity+solutions+llc,Ziffity Solutions LLC,Silver,"Ziffity is a full-service eCommerce agency focused on helping B2B and B2C brands overcome their challenges and achieve their aspirations with Adobe’s eCommerce, digital experience and marketing technology capabilities.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Retail"", ""Travel & Hospitality""]"
omni.pro,OMNI.PRO,Gold,"Because innovation waits for no one, we grab technology head on to ensure we overcome whatever curve ball it may throw. We may not have control on where the future will go but we have control on how we face it. ","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail""]"
247+commerce+limited,247 Commerce Limited,Bronze,"We are a full-service eCommerce agency, powering online growth through the development of user-centric, technically-advanced websites, supported by strong UX/UI design,  strategic marketing and consultancy, as well as powerful  API integrations.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Manufacturing & Distribution"", ""Non-Profit"", ""Retail"", ""Travel & Hospitality""]"
webjump,WEBJUMP,Platinum,WEBJUMP is the leading Adobe Partner providing agile development teams through AI,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
fpt+software+company+limited,FPT Software Company Limited,Gold,"With more than 20 years of experience, we have helped a wide range of clients to achieve digital transformation by enhancing customer experiences, boosting operational excellence and innovating business models.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Financial Services / Insurance"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
blue+acorn+ici,Blue Acorn iCi,Platinum,Blue Acorn iCi  x Infosys,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
merkle,Merkle,Platinum,"Merkle is a leading technology-enabled, data-driven customer experience management (CXM) company. Capabilities include customer strategy, performance media, CX and personalization, CRM, loyalty marketing and enterprise technology services.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
rave+digital,Rave Digital,Bronze,"Rave Digital is a top-rated Magento Certified, Silver Partner focused on Open Source, M2 Commerce and Commerce Cloud solutions.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Retail""]"
perficient,Perficient,Platinum,Leading digital change. Driving real results.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Government / Public Sector"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
i95dev,i95Dev,Bronze,"i95Dev is a global eCommerce agency helping brands from Retail, Manufacturing and Wholesale Distribution build robust, scalable, and efficient eCommerce solutions.","[""Automotive"", ""Consumer Packaged Goods"", ""Education"", ""Manufacturing & Distribution"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
kensium,Kensium,Bronze,We specialize in creating scalable and integrated ecommerce solutions.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Manufacturing & Distribution"", ""Other (HR / IT / Legal / etc.)"", ""Retail""]"
dotcomweavers,DotcomWeavers,Gold,We specialize in commerce transformation through a deep understanding of clients’ business models to create customized digital solutions.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Manufacturing & Distribution"", ""Retail""]"
silk+commerce,Silk Commerce,Silver,Digital Agency for B2B and Global Brands,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
born+group,BORN Group,Platinum,"Connecting creative, content and commerce to transform brands and grow businesses. BORN is an award-winning global digital & content production agency.","[""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Retail""]"
elogic+commerce,Elogic Commerce,Bronze,Elogic is an Adobe Commerce focused partner agency. We transform retail brands into e-commerce leaders by creating unique digital commerce experiences with the help of cutting edge technologies and the leading industry expertise.,"[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Retail"", ""Travel & Hospitality""]"
rightpoint,Rightpoint,Platinum,"Rightpoint is a Total Experience company. We drive growth by delivering experiences that transform how people, technology, and businesses interact.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Education"", ""Financial Services / Insurance"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
absolute+web,Absolute Web,Bronze,"Established in 1999, Absolute Web is am Adobe Commerce (Magento) Partner, with offices in Miami (Florida) and Los Angeles (California), helping B2C and B2B companies achieve their eCommerce goals.","[""B2B High Tech"", ""Consumer Packaged Goods"", ""Healthcare & Life Sciences"", ""Manufacturing & Distribution"", ""Other (HR / IT / Legal / etc.)"", ""Retail"", ""Travel & Hospitality""]"
o2+web,O2 Web,Silver,"Adobe Digital Experience Emerging Solution Partner of the Year, O2Web's team of experts helps you go beyond your goals and focus on your customers.","[""Automotive"", ""B2B High Tech"", ""Consumer Packaged Goods"", ""Manufacturing & Distribution"", ""Media, Entertainment & Telecom"", ""Non-Profit"", ""Retail"", ""Travel & Hospitality""]"
